id,studyday,dayweek,numall,nrel,prel,negevent,posevent,gender,rosn,age,desired,state
1,1,6,9,1,0,0.4,0.525,2,3.3,39.48528405,5.666666667,4
1,2,7,1,0,0,0.25,0.7,2,3.3,39.48528405,2,2.777777778
1,3,1,1,1,0,0.266666667,1,2,3.3,39.48528405,3,4.222222222
1,4,2,2,0,1,0.533333333,0.608333333,2,3.3,39.48528405,3.666666667,4.111111111
1,5,3,2,1.333333333,0.333333333,0.663333333,0.693333333,2,3.3,39.48528405,3,4.222222222
1,6,4,1,1,0,0.59,0.68,2,3.3,39.48528405,4,4.333333333
1,7,5,4,0,3.5,0.633333333,0.8,2,3.3,39.48528405,5,3.888888889
2,1,3,3,1.166666667,4.5,1.656666667,2.136666667,2,3.9,38.00136893,3.666666667,3.666666667
2,2,4,4,0,5.5,1.066666667,2.061666667,2,3.9,38.00136893,4.666666667,4.111111111
2,3,5,0,2,3,0.667857143,1.938571429,2,3.9,38.00136893,5,3.666666667
2,4,6,4,5.833333333,0.833333333,2.376666667,0.924166667,2,3.9,38.00136893,5.666666667,4.111111111
2,5,7,7,0,0,0,0,2,3.9,38.00136893, , 
2,6,1,4,0.833333333,6.5,0.825,1.641666667,2,3.9,38.00136893,4.333333333,4.222222222
2,7,2,1,0,9,1.13,2.398333333,2,3.9,38.00136893,2.666666667,3.888888889
4,1,3,0,0.714285714,3.857142857,0.521428571,1.010714286,2,3.7,30.04791239,1.666666667,4.222222222
4,2,4,1,0,2,0.3,1.408333333,2,3.7,30.04791239,7.666666667,4
4,3,5,3,0.25,6,0.571666667,1.42,2,3.7,30.04791239,5.666666667, 
4,4,6,1,0.333333333,4,0.233333333,1.346428571,2,3.7,30.04791239,5,4.111111111
4,5,7,0,0,5.666666667,0.258333333,1.991666667,2,3.7,30.04791239,4.666666667,4.222222222
4,6,1,1,0.333333333,1,0.433333333,2.05,2,3.7,30.04791239,5,4.333333333
4,7,2,0,0.2,1.8,0.52,0.88,2,3.7,30.04791239,4.666666667,4.444444444
5,1,4,1,0,0,0.966666667,1.333333333,2,3,27.60848734,5.666666667,3.666666667
5,2,5,3,0,0,0.4,0.9,2,3,27.60848734,5.333333333,3.333333333
5,3,6,0,0,0,0.2,1.5,2,3,27.60848734,1.666666667,4.222222222
5,4,7,0,0,0,0.3,1.65,2,3,27.60848734,1,3.888888889
5,5,1,0,0,0,0.45,0.65,2,3,27.60848734,2.666666667,3.444444444
